MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,income_per_person,rooms_per_person,bedrooms_ratio,income_category,location_category,target
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,3.2576869565217397,2.7329192546583854,0.14659090909090908,Very High,Bay Area,4.526
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.934607746772178,2.9566847147022073,0.15579659106916469,Very High,Bay Area,3.585
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,2.589838306451613,2.957661290322581,0.12951601908657123,Very High,Bay Area,3.521
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,2.2147650537634407,2.283154121863799,0.18445839874411304,High,Bay Area,3.413
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,1.7631253097345134,2.879646017699115,0.17209588199139522,Medium,Bay Area,3.422
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,1.8864464891041164,2.225181598062954,0.23177366702937974,Medium,Bay Area,2.697
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,1.719174954296161,2.317184643510055,0.19289940828402366,Medium,Bay Area,2.992
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,1.7447191011235956,2.6828003457216942,0.22132731958762886,Medium,Bay Area,2.414
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,1.0263996683250416,2.1185737976782755,0.26027397260273977,Low,Bay Area,2.267
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,1.6992371373307544,2.288201160541586,0.1992110453648915,Medium,Bay Area,2.611
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,1.4149958241758243,2.4197802197802196,0.19709355131698458,Medium,Bay Area,2.815
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,1.5961083776595746,2.3291223404255317,0.2146731373108764,Medium,Bay Area,2.418
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,1.310655737704918,2.268670309653916,0.1902850260939382,Medium,Bay Area,2.135
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.3484243478260869,2.017391304347826,0.2744252873563218,Low,Bay Area,1.913
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,0.980490099009901,2.1806930693069306,0.2368520620507,Low,Bay Area,1.592
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,0.8048780487804879,1.606886657101865,0.2526785714285715,Low,Bay Area,1.4
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.1582912988650693,2.4791929382093314,0.17650050864699898,Low,Bay Area,1.525
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,0.9913898148148148,1.8950617283950615,0.23859934853420198,Low,Bay Area,1.555
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,0.8426978787878788,2.261616161616162,0.20321572130415363,Low,Bay Area,1.587
2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,1.0375471014492752,2.1782608695652175,0.19827012641383898,Low,Bay Area,1.629
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,0.5510875305623472,1.8361858190709048,0.24500665778961384,Very Low,Bay Area,1.475
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,0.675071044133477,1.7642626480086114,0.22391702257474067,Low,Bay Area,1.598
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,0.8123645320197045,2.4,0.2220853858784893,Low,Bay Area,1.139
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.8308264947245018,1.9788980070339977,0.19964454976303314,Low,Bay Area,0.997
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.0906560636182903,2.2107355864811136,0.19649280575539568,Low,Bay Area,1.326
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,0.9023728706624606,1.687697160883281,0.22990654205607478,Low,Bay Area,1.075
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.9684815485996706,1.8616144975288305,0.215929203539823,Low,Bay Area,0.938
